feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
Price_Differential_Ratio_LogDiff_10d,0.00503980213518729,0.0417232151495183,71,0.00999898168726735,0.1266246864280692,103.0,0.0417232151495183
Price_Differential_Ratio_PctChange_10d,-0.00503980213518729,-0.0417232151495183,71,-0.009998538801858428,-0.12661868255416475,309.0,0.0417232151495183
Price_Differential_Ratio_MomentumDecelerating,-0.00474163978734584,-0.041512999607175825,71,0.005214290370512656,0.10110320406121429,572.0,0.041512999607175825
distance_from_sma_10d,0.007003401717932313,0.04125239317418961,71,0.002492765746113066,0.017468817755043813,282.0,0.04125239317418961
momentum_strength_5d,0.006036983295070441,0.04072647466874563,71,0.004442536252904562,0.03841515168974691,578.0,0.04072647466874563
corr_DIA,0.006889230199262823,0.03944040787788922,71,-0.019846729948148272,-0.09833233567946026,31.0,0.03944040787788922
Rolling_Mean_90,-0.0048110874153997054,-0.039272825600088025,71,-0.007182046572246607,-0.09652868791618513,399.0,0.039272825600088025
low_close_ratio,-0.005773404826868225,-0.038695520728305,71,-0.009829761220870786,-0.09340828975867088,5.0,0.038695520728305
percent_change_Close_lag_1,0.0054926951519860545,0.03711783900750037,71,-0.01547250694504235,-0.12691089607744624,287.0,0.03711783900750037
Price_Differential_Ratio_LogScale_Zscore_50d,0.004629233530309161,0.037057320207166726,71,0.007901625084926103,0.10139559488561212,297.0,0.037057320207166726
Rolling_Std_90,-0.004791481666485625,-0.036634676798345825,71,-0.013963457860867499,-0.16046553890712972,236.0,0.036634676798345825
Price_Differential_Ratio_WeightedSignalStrength,-0.00426233328976171,-0.0363835906311329,71,0.0016267925684830668,0.03263131802456765,591.0,0.0363835906311329
Lyapunov_Scaled,-0.004046818315310496,-0.03577567054244153,71,0.014616525365004905,0.23815464424999885,178.0,0.03577567054244153
mp_d4_b291_sym_frob,-0.0051799733408224935,-0.03454702997194366,71,-0.008589643824925573,-0.08709602329409548,,0.03454702997194366
volume_volatility,-0.0037154793882361063,-0.03450242808478596,71,0.0045704777491808735,0.0967496700599345,410.0,0.03450242808478596
minima,-0.004178271659046487,-0.03363521407572907,71,-0.007221511776474454,-0.09670836001505806,511.0,0.03363521407572907
RSI_HC_Composite_norm,0.005478064369916399,0.03351698145776966,71,0.003526769280088388,0.03201320141577603,213.0,0.03351698145776966
Pattern_Indicator_norm,-0.004738525640060591,-0.03196660734477607,71,-0.0005918427221113567,-0.005332929625960017,289.0,0.03196660734477607
Price_Differential_Ratio_Autocorr_1d,0.0033957695362658584,0.031069405781428673,71,0.0029945953660052522,0.048339790375838576,531.0,0.031069405781428673
Price_Differential_Ratio_LogScale_Minmax_10d,0.0035459109331711027,0.03056471626991369,71,0.0038697850381023456,0.05638048582250793,358.0,0.03056471626991369
Price_Differential_Ratio_InfoDecay_1d,-0.003285451820736837,-0.029996780058967318,71,-0.002409088575444899,-0.03975016874808478,499.0,0.029996780058967318
Rolling_Mean_28,-0.003626442020040509,-0.029344882880857348,71,-0.007130053511640297,-0.09528621832426908,83.0,0.029344882880857348
open_close_ratio,-0.0051437819522681715,-0.0292516793800658,71,0.006065063381988187,0.052528917772771015,172.0,0.0292516793800658
maxima,-0.003697822516880617,-0.029241205398855056,71,-0.007402067234013825,-0.09878609954907583,533.0,0.029241205398855056
doji_pattern,0.0024795932725480006,0.02803252912046339,66,0.0013490490288536124,0.03646113921782479,566.0,0.02803252912046339
Price_Differential_Ratio_LogScale_Rank_50d,0.0035076818346912063,0.027851910018524318,71,0.008161685877211791,0.10567828450921848,328.0,0.027851910018524318
Price_Differential_Ratio_LogScale_Zscore_10d,0.0034448922993016487,0.027528810620582257,71,0.004390481270114448,0.06132105355399074,303.0,0.027528810620582257
Realized_Vol_21d,0.0029548517399446955,0.027168327409687637,71,-0.004488354022173285,-0.033591277515160015,99.0,0.027168327409687637
VIX_vs_Realized_21d,-0.0029548517399446955,-0.027168327409687637,71,0.00448836932691226,0.03359139402382171,177.0,0.027168327409687637
